country,year,nosuicide,population,suicide_per_100k
Lithuania,1996,1722,3375163,51.01975816
Lithuania,1995,1694,3387149,50.01256219
Lithuania,2000,1631,3315125,49.19874816
Lithuania,1997,1632,3364273,48.50973747
Lithuania,2002,1551,3274488,47.36618366
Lithuania,2001,1533,3294138,46.53721247
Lithuania,1999,1550,3333452,46.49834466
Lithuania,1998,1553,3350973,46.34474823
Lithuania,2003,1455,3254127,44.71245283
Russia,1994,61420,138476200,44.35419227
Estonia,1995,594,1356651,43.7842894
Russia,1995,60548,139087100,43.53243399
Latvia,1995,1024,2374700,43.12123637
Lithuania,2004,1380,3222969,42.81766284
Lithuania,2005,1319,3174728,41.54686638
Russia,2001,56958,137521509,41.41752109
Russia,1996,57511,139272600,41.29383669
Russia,1999,56974,138717800,41.07187398
Hungary,1992,4000,9754956,41.00479797
Russia,2000,56619,138205695,40.96719748
Hungary,1991,3993,9757766,40.92125185
Sri Lanka,1985,5668,13857000,40.90351447
Estonia,1996,545,1342202,40.6049164
Russia,1993,55846,137692800,40.55840247
Russia,2002,55024,136590900,40.28379636
Russia,1997,54746,139283200,39.30553003
Estonia,1997,522,1331234,39.21173888
Latvia,1996,922,2363400,39.01159347
Lithuania,2013,1085,2806627,38.65850361
Sri Lanka,1986,5345,14101400,37.9040379
Hungary,1993,3694,9747902,37.89533379
Lithuania,2009,1138,3016497,37.72587873
Latvia,1997,886,2354700,37.62687391
Russia,2003,51445,137019868,37.54564995
Belarus,1996,3627,9684800,37.4504378
Hungary,1994,3625,9740817,37.21453755
Russia,1998,51518,139122100,37.03078088
Belarus,2003,3456,9420691,36.68520706
Belarus,1998,3556,9694800,36.67945703
Belarus,2000,3483,9543479,36.49612474
Lithuania,2008,1111,3053756,36.38142668
Belarus,1997,3526,9692100,36.38014465
Estonia,1998,477,1321719,36.08936544
Russia,2004,49096,137071699,35.81775112
Latvia,1998,839,2344100,35.7919884
Estonia,1999,468,1313198,35.63819013
Belarus,1999,3397,9563200,35.52158273
Lithuania,2011,1018,2879805,35.34961569
Hungary,1996,3436,9737250,35.2871704
Sri Lanka,1997,5887,16775409,35.0930341
Hungary,1999,3326,9553064,34.81605483
Belarus,2002,3291,9469234,34.75465914
Belarus,2001,3303,9513587,34.71876591
Hungary,1995,3366,9737248,34.5682887
Lithuania,2010,1018,2949737,34.51155137
Hungary,2000,3269,9527034,34.31288269
Latvia,2000,770,2272107,33.88924905
Russia,2005,45802,136162191,33.63782535
Lithuania,2016,822,2445296,33.61556229
Lithuania,2006,1049,3125767,33.55976309
Lithuania,2014,930,2781577,33.43427128
Hungary,1998,3245,9734373,33.33548036
South Korea,2011,15906,47798017,33.27753116
Russia,1992,45923,138118900,33.24888918
Lithuania,2007,1025,3087867,33.19443486
Belarus,1995,3203,9673600,33.11073437
Sri Lanka,1999,5619,17020287,33.01354437
Kazakhstan,1996,4773,14487700,32.94518799
Hungary,1997,3208,9737781,32.94385035
Latvia,1999,763,2333400,32.69906574
South Korea,2010,15558,47598615,32.685825
Lithuania,2012,927,2837770,32.66649517
Belarus,1994,3153,9653900,32.6603756
Sri Lanka,1998,5518,16897691,32.65534918
Slovenia,1998,612,1880300,32.54799766
Lithuania,2015,896,2753926,32.53536951
South Korea,2009,15402,47380017,32.50737542
Finland,1990,1512,4675100,32.34155419
